Abdelghani_Mzoudi;5
Abdul_Aziz_Al-Omari*;1
Abdussattar_Shaikh;5
Abu_Qatada;5
Abu_Walid;5
Agus_Budiman;5
Ahmed_Al_Haznawi;3
Ahmed_Alghamdi;4
Ahmed_Alnami;3
Ahmed_Khalil_Ibrahim_Samir_Al-Ani;5
Ahmed_Ressam;5
Bandar_Alhazmi;5
David_Courtaillier;5
Djamal_Beghal;5
Essid_Sami_Ben_Khemais;5
Essoussi_Laaroussi;5
Fahid_al_Shakri;5
Faisal_Al_Salmi;5
Fayez_Ahmed;4
Hamza_Alghamdi;4
Hani_Hanjour;2
Haydar_Abu_Doha;5
Imad_Eddin_Barakat_Yarkas;5
Jerome_Courtaillier;5
Kamel_Daoudi;5
Khalid_Al-Mihdhar;2
Lased_Ben_Heni;5
Lotfi_Raissi;5
Madjid_Sahoune;5
Majed_Moqed;2
Mamduh_Mahmud_Salim;5
Mamoun_Darkazanli;5
Marwan_Al-Shehhi;4
Mehdi_Khammoun;5
Mohamed_Abdi;5
Mohamed_Atta;1
Mohamed_Bensakhria;5
Mohammed_Belfas;5
Mohand_Alshehri*;4
Mounir_El_Motassadeq;5
Mustafa_Ahmed_al-Hisawi;5
Nabil_Almarabh;5
Nabil_al-Marabh;5
Nawaf_Alhazmi;2
Osama_Awadallah;5
Raed_Hijazi;5
Ramzi_Bin_al-Shibh;5
Rayed_Mohammed_Abdullah;5
Saeed_Alghamdi*;3
Said_Bahaji;5
Salem_Alhazmi*;2
Samir_Kishk;5
Satam_Suqami;1
Seifallah_ben_Hassine;5
Tarek_Maaroufi;5
Wail_Alshehri;1
Waleed_Alshehri;1
Zacarias_Moussaoui;5
Zakariya_Essabar;5
Ziad_Jarrah;3